amenity_id,amenity_name,amenity_category
ECFE1156-9072-4959-96C2-8D74AB14BEA6,Hitching Post/Corral,"Convenience, Recreation"
EC76D4B1-F391-45EB-AEC4-DC96B3F58194,Ice,Souvenirs and Supplies
0AF7920C-2F54-42A7-88CA-F2EEBCB15655,Information,Information Available
7E66CA2E-40AD-487E-8A04-8A9A2E4897C9,Information - Maps Available,"Convenience, Information Available"
6815A395-2988-4AF3-8006-50224AD05193,Information - Park Newspaper Available,Information Available
8320DDEA-91E7-411D-81B4-5D31CCA2267B,Information - Ranger/Staff Member Present,Information Available
80E207D6-E9C3-4075-9823-26D23E963FA2,Information Kiosk/Bulletin Board,Information Available
9EA123B3-E118-4BE9-BF49-EE93F1BA645B,Internet/WiFi Available,Convenience
8AAA9B54-1797-4B6E-8F62-AC33F6BAD3E6,Junior Ranger Activity,Junior Ranger Program
1D89D866-66BC-4CB9-9640-0291F984C29B,Junior Ranger Booklet Available,Junior Ranger Program
27798945-B557-42A5-8599-90B92635EC06,Kennel,Convenience
0A8D7236-5316-4128-978D-31FE059031F8,Large Print,Accessibility
B108A32A-52A4-4C4E-B178-0276BFBD9555,Laundry,Convenience
7760752A-8879-43F8-A338-6796D652D4EF,Lifejacket Rentals,"Boating, Safety"
B190FA09-B841-434B-8A72-C78D59BF91EB,Locker/Storage,"Convenience, Safety"
6297C73A-5B8D-4D0E-BAD1-5E47F244D20A,Low-Vision Access,Accessibility
F9BA4FBF-C247-46C7-A699-2C2E7D954D30,Mechanic,"Convenience, Emergency, Transportation"
163C13BC-0AD5-4190-8D1F-0B7E2C1B0BA3,Open Captioning,Accessibility
B760D6E2-3616-4D8B-ABF2-B875B7966831,Parking - Auto,Parking
EDA1E992-DA2B-4933-A7AD-23E3B7BFA602,Parking - Boat Trailer,"Boating, Parking"
0965B1F3-A824-4A31-98C9-86CCD2889220,Parking - Bus/RV,Parking
24140B47-F8FE-4046-BB6A-817F9E165959,Permits Issued,Permits and Passes
C115FEF5-6B42-4850-8226-08E048E82520,Pet Boarding,Pet-Friendly
683F4979-D6E5-461F-93B8-2DAE5DF0124A,Pet Waste Disposal,Pet-Friendly
D7D63B75-2A7E-4715-856A-D8479DB9602A,Pets Allowed,Pet-Friendly
DAB8DE0A-44A2-4AB5-8914-9528BF9413DB,Picnic Shelter/Pavilion,"Picnic, Recreation"
6B68B30A-40C9-4745-9397-4899B59B0B7E,Picnic Table,"Picnic, Recreation"
7736B50E-5210-46C3-B59D-5C5D1886C2A6,Playground,Recreation
053D7823-0372-4A24-8316-A6D728C4DA65,Primitive Campsites,Campsites
8E6BF478-B938-469F-B5B8-2938DA389FF3,Propane For Sale,"Convenience, Fuel, Souvenirs and Supplies"
6DB7E488-F085-4ECA-AB53-901B1C1D1F6D,Propane Recycling,Convenience
A0038A57-E213-46E7-BD5F-40E9AE18014F,Public Transit,Transportation
C3216D86-E013-434E-845F-0CFAE58C8914,Recreational Field,Recreation
4706077B-00CB-4D07-80C7-48B2D5ADEFA2,Recycling,Convenience
2883D965-1CA4-4858-B759-A5866CA8A188,Restroom,Restrooms
75F2DA2A-1741-445A-9FA7-B63A81E4BD7F,Restroom - Accessible,"Accessibility, Restrooms"
D6220FCB-F005-4C26-942C-2BE168819AE3,Restroom - Family,Restrooms
3AE99969-54E5-4A4E-AE43-5A11209D0120,Restroom - Seasonal,Restrooms
79247274-A3FB-42C4-9361-45A2BFADE78C,Scenic View/Photo Spot,Recreation
00FD91F9-D3A5-41FC-B506-B0AB6CABEF3B,Sea Plane Launch,Transportation
66F39143-96B7-44BC-BE90-EB44C361B448,Sewage Dump Station - Boat/RV,Convenience
135075E7-68DA-4E84-AF9D-63ACBDF809CC,Sewer Hookups - Boat/RV,Convenience
7B13EFFB-40DA-439C-AB41-9756EC32D22E,Shelter/Cabin,Convenience
94E21603-85F3-48C5-96B6-556E46FA2518,Showers,Convenience
347D79CD-4FEC-4218-86C4-079F0FE94945,Sign Language Interpreter,Accessibility
F903E427-5E1C-44C0-B127-79C9054FBEBA,Ski Rental,"Recreation, Winter Recreation"
460AECEB-2158-47B4-8DAC-40041649C0F3,Supplies - Camping/Outdoor,Souvenirs and Supplies
A57ABD0E-7A70-4F0F-B130-9D36636AAC99,Supplies - Fishing/Boating,"Boating, Fishing, Souvenirs and Supplies"
94006F6C-4EEF-489C-B8E6-FF1565E25F84,Supplies - General,Souvenirs and Supplies
D7E4E6D8-4BAD-4758-8E76-97ED800502E8,Swimming Pool,Recreation
1FF653F6-1F20-425C-A16A-B8D6210CD759,Tactile Exhibit,Accessibility
343F0388-C62A-4FEB-A790-E73253ECDDB2,Telephone,Convenience
E1467219-BFA0-4A9F-AB38-3B35E3CEC067,Tent Campsites,Campsites
BF109EEC-1E9C-4015-B5D1-829FE122C64B,Text Telephone/TTY,Accessibility
A5EA8D15-1DFE-43D4-B2C4-B76DD927CE50,Theater/Auditorium,Interpretive
C7577040-41BF-4948-9521-7044E09ABF7C,Ticket Sales,Permits and Passes
CC4A51EF-1CB8-4625-9A9B-3AC77AF2F668,Toilet - Flush,Restrooms
F84C0528-0D1A-45A2-B644-B3C059B3D224,Toilet - Vault/Composting,Restrooms
39BE9614-4284-4B29-A650-AB2E7215C58B,Trailhead,"Hiking, Recreation"
6F58A577-4B56-46B9-B170-A5A5F670E245,Trailhead/Hiker Register,"Hiking, Recreation, Safety"
4EDE1652-84E4-4219-8D20-26317D4B61DA,Trash Dumpster,Convenience
4D4C1C32-793D-4440-8098-DBCA0126EDFD,Trash/Litter Receptacles,Convenience
3A8EC9F0-6CC6-48CE-9AA2-1B257B074383,Volume-Controlled Telephone,Accessibility
23682251-700A-4DE2-8FD8-BD680F53DF82,Water - Bottle-Filling Station,"Convenience, Drinking Water, Safety"
9A652919-D548-4850-8053-798CDC2C762B,Water - Drinking/Potable,"Convenience, Drinking Water, Safety"
3CC88D72-D320-4E33-8D70-00A583E7F479,Water - Hookup - Boat/RV,Convenience
08EDBF67-DF67-4D3B-83C1-8B2844228C4D,Water - Non-Potable,Convenience
EAB59B1F-2FA1-4545-A322-2C19149AF7FC,Wheelchair Accessible,Accessibility
1CF3D18E-C6A7-4462-9990-86B59383A9C3,Wheelchairs Available,Accessibility
