amenity_id,amenity_name,park_code,park_name,park_states,park_designation,park_url
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cali,California National Historic Trail,"CA,CO,ID,KS,MO,NE,NV,OR,UT,WY",National Historic Trail,http://www.nps.gov/cali/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cana,Canaveral National Seashore,FL,National Seashore,http://www.nps.gov/cana/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cari,Cane River Creole National Historical Park,LA,National Historical Park,http://www.nps.gov/cari/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,casa,Castillo de San Marcos National Monument,FL,National Monument,http://www.nps.gov/casa/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cbpo,Chesapeake Bay ,"DC,DE,MD,NY,PA,VA,WV",,http://www.nps.gov/cbpo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,chat,Chattahoochee River National Recreation Area,GA,National Recreation Area,http://www.nps.gov/chat/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,choh,Chesapeake & Ohio Canal National Historical Park,"DC,MD,WV",National Historical Park,http://www.nps.gov/choh/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,colm,Colorado National Monument,CO,National Monument,http://www.nps.gov/colm/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,crla,Crater Lake National Park,OR,National Park,http://www.nps.gov/crla/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cuis,Cumberland Island National Seashore,GA,National Seashore,http://www.nps.gov/cuis/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,cuva,Cuyahoga Valley National Park,OH,National Park,http://www.nps.gov/cuva/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,dena,Denali National Park & Preserve,AK,National Park & Preserve,http://www.nps.gov/dena/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,deva,Death Valley National Park,"CA,NV",National Park,http://www.nps.gov/deva/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,drto,Dry Tortugas National Park,FL,National Park,http://www.nps.gov/drto/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,eise,Eisenhower National Historic Site,PA,National Historic Site,http://www.nps.gov/eise/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,elte,El Camino Real de los Tejas National Historic Trail,"TX,LA",National Historic Trail,http://www.nps.gov/elte/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,ever,Everglades National Park,FL,National Park,http://www.nps.gov/ever/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,fiis,Fire Island National Seashore,NY,National Seashore,http://www.nps.gov/fiis/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,fodo,Fort Donelson National Battlefield,"KY,TN",National Battlefield,http://www.nps.gov/fodo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,fola,Fort Laramie National Historic Site,WY,National Historic Site,http://www.nps.gov/fola/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,fols,Fort Larned National Historic Site,KS,National Historic Site,http://www.nps.gov/fols/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,fomc,Fort McHenry National Monument and Historic Shrine,MD,National Monument and Historic Shrine,http://www.nps.gov/fomc/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,fomr,Fort Monroe National Monument,VA,National Monument,http://www.nps.gov/fomr/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,fopu,Fort Pulaski National Monument,GA,National Monument,http://www.nps.gov/fopu/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,frde,Franklin Delano Roosevelt Memorial ,DC,,http://www.nps.gov/frde/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,frst,First State National Historical Park,"DE,PA",National Historical Park,http://www.nps.gov/frst/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,glac,Glacier National Park,MT,National Park,http://www.nps.gov/glac/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,goga,Golden Gate National Recreation Area,CA,National Recreation Area,http://www.nps.gov/goga/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,grba,Great Basin National Park,NV,National Park,http://www.nps.gov/grba/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,grca,Grand Canyon National Park,AZ,National Park,http://www.nps.gov/grca/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,grko,Grant-Kohrs Ranch National Historic Site,MT,National Historic Site,http://www.nps.gov/grko/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,grpo,Grand Portage National Monument,MN,National Monument,http://www.nps.gov/grpo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,guis,Gulf Islands National Seashore,"FL,MS",National Seashore,http://www.nps.gov/guis/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,gwca,George Washington Carver National Monument,MO,National Monument,http://www.nps.gov/gwca/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,hamp,Hampton National Historic Site,MD,National Historic Site,http://www.nps.gov/hamp/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,hatu,Harriet Tubman Underground Railroad National Historical Park,MD,National Historical Park,http://www.nps.gov/hatu/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,havo,Hawaiʻi Volcanoes National Park,HI,National Park,http://www.nps.gov/havo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,hocu,Hopewell Culture National Historical Park,OH,National Historical Park,http://www.nps.gov/hocu/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,hofu,Hopewell Furnace National Historic Site,PA,National Historic Site,http://www.nps.gov/hofu/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,hosp,Hot Springs National Park,AR,National Park,http://www.nps.gov/hosp/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,iafl,Ice Age Floods National Geologic Trail,"WA,OR,ID,MT",National Geologic Trail,http://www.nps.gov/iafl/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,inde,Independence National Historical Park,PA,National Historical Park,http://www.nps.gov/inde/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,indu,Indiana Dunes National Park,IN,National Park,http://www.nps.gov/indu/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,jaga,James A Garfield National Historic Site,OH,National Historic Site,http://www.nps.gov/jaga/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,jeca,Jewel Cave National Monument,SD,National Monument,http://www.nps.gov/jeca/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,jeff,Gateway Arch National Park,MO,National Park,http://www.nps.gov/jeff/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,jica,Jimmy Carter National Historical Park,GA,National Historical Park,http://www.nps.gov/jica/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,jofl,Johnstown Flood National Memorial,PA,National Memorial,http://www.nps.gov/jofl/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,juba,Juan Bautista de Anza National Historic Trail,"AZ,CA",National Historic Trail,http://www.nps.gov/juba/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,kemo,Kennesaw Mountain National Battlefield Park,GA,National Battlefield Park,http://www.nps.gov/kemo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,kewe,Keweenaw National Historical Park,MI,National Historical Park,http://www.nps.gov/kewe/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,klgo,Klondike Gold Rush National Historical Park,AK,National Historical Park,http://www.nps.gov/klgo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,knri,Knife River Indian Villages National Historic Site,ND,National Historic Site,http://www.nps.gov/knri/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,lavo,Lassen Volcanic National Park,CA,National Park,http://www.nps.gov/lavo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,lecl,Lewis & Clark National Historic Trail,"IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV",National Historic Trail,http://www.nps.gov/lecl/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,lewi,Lewis and Clark National Historical Park,"OR,WA",National Historical Park,http://www.nps.gov/lewi/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,long,Longfellow House Washington's Headquarters National Historic Site,MA,National Historic Site,http://www.nps.gov/long/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,lowe,Lowell National Historical Park,MA,National Historical Park,http://www.nps.gov/lowe/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,mabi,Marsh - Billings - Rockefeller National Historical Park,VT,National Historical Park,http://www.nps.gov/mabi/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,maca,Mammoth Cave National Park,KY,National Park,http://www.nps.gov/maca/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,malu,"Martin Luther King, Jr. National Historical Park",GA,National Historical Park,http://www.nps.gov/malu/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,manz,Manzanar National Historic Site,CA,National Historic Site,http://www.nps.gov/manz/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,mapr,Manhattan Project National Historical Park,"NM,WA,TN",National Historical Park,http://www.nps.gov/mapr/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,mava,Martin Van Buren National Historic Site,NY,National Historic Site,http://www.nps.gov/mava/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,meve,Mesa Verde National Park,CO,National Park,http://www.nps.gov/meve/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,mimi,Minuteman Missile National Historic Site,SD,National Historic Site,http://www.nps.gov/mimi/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,misp,Mill Springs Battlefield National Monument,KY,National Monument,http://www.nps.gov/misp/
