place_id,park_url,park_name,park_code,park_latitude,park_longitude,park_designation
DF9C3E81-8555-4B8B-98CF-DFA6C6D0093D,https://www.nps.gov/boha/index.htm,Boston Harbor Islands National Recreation Area,boha,42.32352412281155,-70.98697900772095,National Recreation Area
37B71470-9DF8-40E6-9460-F77DCBD049E8,https://www.nps.gov/boha/index.htm,Boston Harbor Islands National Recreation Area,boha,42.326316271104325,-70.98467230796814,National Recreation Area
99028C5B-BC36-4BA4-B4E9-D2AB8C59BA4F,https://www.nps.gov/jofl/index.htm,Johnstown Flood National Memorial,jofl,40.348599218361784,-78.77561867231634,National Memorial
FEC959E3-AC83-4865-B922-165BE32A3279,https://www.nps.gov/jofl/index.htm,Johnstown Flood National Memorial,jofl,40.347860589820016,-78.77558827400208,National Memorial
01688021-0C12-467B-BA1B-0175DF57714C,https://www.nps.gov/lowe/index.htm,Lowell National Historical Park,lowe,42.6461577993705,-71.3064775697841,National Historical Park
19856405-7AA9-4D89-996F-F5C2DCFEFF6B,https://www.nps.gov/whsa/index.htm,White Sands National Park,whsa,32.7909,-106.21427,National Park
1743166D-7A64-4AAF-A08D-E5CCCA7A8330,https://www.nps.gov/whsa/index.htm,White Sands National Park,whsa,32.79703,-106.21165,National Park
A360F93F-A6B9-4313-80C6-66915969708A,https://www.nps.gov/lewi/index.htm,Lewis and Clark National Historical Park,lewi,46.121827589670474,-123.87670451386981,National Historical Park
3CC5FB3E-4784-400A-AB2A-D844FFB0FFDC,https://www.nps.gov/bost/index.htm,Boston National Historical Park,bost,42.374007216632094,-71.05605800282214,National Historical Park
DB50862B-FD88-4D17-A53A-728919966E03,https://www.nps.gov/boha/index.htm,Boston Harbor Islands National Recreation Area,boha,42.32770436689265,-70.98634600639343,National Recreation Area
