park_id,park_url,park_name,park_code,park_latitude,park_longitude,park_designation
B2577D2A-A33E-4DCF-B6F8-C299E1DFEC19,https://www.nps.gov/joda/index.htm,John Day Fossil Beds National Monument,joda,44.62566508,-119.8811491,National Monument
13E32BB8-D80B-45FA-ABF7-9C0CA5417ADC,https://www.nps.gov/jofi/index.htm,John Fitzgerald Kennedy National Historic Site,jofi,42.34693694,-71.12323846,National Historic Site
F339067B-A588-4BF3-9D90-1C1BA1249203,https://www.nps.gov/jomu/index.htm,John Muir National Historic Site,jomu,37.9828422,-122.1326097,National Historic Site
A8C04CA4-FEFF-4FDD-99C4-5BA801AA2DB5,https://www.nps.gov/jofl/index.htm,Johnstown Flood National Memorial,jofl,40.34584534,-78.77448601,National Memorial
F5CD58FB-05DC-4074-99DA-F327A537F1BC,https://www.nps.gov/jotr/index.htm,Joshua Tree National Park,jotr,33.91418525,-115.8398125,National Park
062F89B7-8DB4-4ACD-88D1-573669E63091,https://www.nps.gov/juba/index.htm,Juan Bautista de Anza National Historic Trail,juba,33.8743390994,-117.224179857,National Historic Trail
3C869976-DF2E-4D99-9918-366DFE637846,https://www.nps.gov/kala/index.htm,Kalaupapa National Historical Park,kala,21.1731108,-156.9511609,National Historical Park
C8B7FCAD-0176-4ABC-8774-90A264E646F1,https://www.nps.gov/kaho/index.htm,Kaloko-Honokōhau National Historical Park,kaho,19.68083237,-156.0306932,National Historical Park
406F7D87-F34F-41C9-9CCE-9FD53ABBA9A7,https://www.nps.gov/kaww/index.htm,Katahdin Woods and Waters National Monument,kaww,45.9567565918,-68.7122879028,National Monument
B712CB0C-B3DD-48A6-AA4F-CCD72C87F48B,https://www.nps.gov/katm/index.htm,Katmai National Park & Preserve,katm,58.62235668,-155.0126574,National Park & Preserve
11E73438-0CCC-4441-A76A-1995F67F2D89,https://www.nps.gov/kefj/index.htm,Kenai Fjords National Park,kefj,59.81804414,-150.106502,National Park
A1901BAE-94DB-44E4-96D4-1E07422EDF6E,https://www.nps.gov/keaq/index.htm,Kenilworth Park & Aquatic Gardens,keaq,38.9128,-76.9434,
AA1E3B48-8B98-4F47-A642-C266A92AB523,https://www.nps.gov/kemo/index.htm,Kennesaw Mountain National Battlefield Park,kemo,33.95370717,-84.59214186,National Battlefield Park
E25D6277-11D8-425F-8498-718C98B13854,https://www.nps.gov/kewe/index.htm,Keweenaw National Historical Park,kewe,47.1792308,-88.52275344,National Historical Park
C7C40543-5879-48FC-8E55-C26F3E0B4CCD,https://www.nps.gov/kimo/index.htm,Kings Mountain National Military Park,kimo,35.13900723,-81.38978712,National Military Park
0529BC85-CD42-4DA9-AC60-CAD7C40C3525,https://www.nps.gov/klse/index.htm,Klondike Gold Rush - Seattle Unit National Historical Park,klse,47.5993663,-122.3319664,National Historical Park
5D4AA834-B601-44A8-B786-FF3306BA8A39,https://www.nps.gov/klgo/index.htm,Klondike Gold Rush National Historical Park,klgo,59.61042373,-135.2618535,National Historical Park
