tags,location,isReservationRequired,arePetsPermitted,activities,amenities,doFeesApply,season,duration,parkCode,designation,fullName,states
"['Acadia National Park', 'hiking', 'plaque', 'Sand Beach', 'park loop road', 'reservations required', 'mount desert island', 'coastal', 'summit', 'island explorer']",Gorham Mountain Summit,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",1-3 Hours,acad,National Park,Acadia National Park,ME
"['Acadia', 'lake', 'Pond', 'historic landscape', 'Carriage Road', 'picnic', 'dining']",Jordan Pond House,false,true,"[{'id': 'C6D3230A-2CEA-4AFE-BFF3-DC1E2C2C4BB4', 'name': 'Picnicking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia', 'lake', 'ponds', 'lakes and ponds', 'long pond', 'great long pond', 'mount desert island', 'west side', 'Paddling', 'canoe', 'kayak', 'boat launch']",Long Pond South Boat Launch,false,true,"[{'id': '4D224BCA-C127-408B-AC75-A51563C42411', 'name': 'Paddling'}]",[],false,[],,acad,National Park,Acadia National Park,ME
"['lakes', 'lakes and ponds', 'paddle', 'canoe', 'kayak', 'East Side', 'mount desert island', 'Eagle Lake', 'Acadia']",Eagle Lake Boat Ramp,false,true,"[{'id': '4D224BCA-C127-408B-AC75-A51563C42411', 'name': 'Paddling'}]",[],false,[],,acad,National Park,Acadia National Park,ME
"['Acadia', 'Paddling', 'paddle', 'canoe', 'kayak', 'paddleboard', 'lake', 'Echo Lake', 'boat ramp']",Ikes Point,false,true,"[{'id': '4D224BCA-C127-408B-AC75-A51563C42411', 'name': 'Paddling'}]",[],false,[],,acad,National Park,Acadia National Park,ME
"['Acadia', 'lakes and ponds', 'paddle', 'Paddling', 'mount desert island', 'kayak', 'canoe', 'boat ramp', 'Jordan Pond']",Jordan Pond Boat Ramp,false,true,"[{'id': '4D224BCA-C127-408B-AC75-A51563C42411', 'name': 'Paddling'}]",[],false,[],,acad,National Park,Acadia National Park,ME
"['great head trail', 'Sand Beach', 'historic structure', 'plaque', 'scenic view', 'ocean view', 'Maine', 'hike', 'hiking', 'park loop road', 'coastal', 'forest']",Great Head/Sand Beach,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-4 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'west side', 'mount desert island', 'seawall', 'hiking', 'coastal', 'less than half day']",Ship Harbor Trailhead,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",30-60 Minutes,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'mount desert island', 'East Side', 'carriage roads', 'hiking']",Carriage Roads,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia', 'historic', 'homestead', 'Family', 'family activities', 'Farm', '1800']",Carroll Homestead,false,true,"[{'id': 'A0631906-9672-4583-91DE-113B93DB6B6E', 'name': 'Self-Guided Tours - Walking'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
