activity_id,activity_name,designation,fullName,name,parkCode,states,url
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Kenai Fjords National Park,Kenai Fjords,kefj,AK,https://www.nps.gov/kefj/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Lassen Volcanic National Park,Lassen Volcanic,lavo,CA,https://www.nps.gov/lavo/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Mammoth Cave National Park,Mammoth Cave,maca,KY,https://www.nps.gov/maca/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Mesa Verde National Park,Mesa Verde,meve,CO,https://www.nps.gov/meve/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Mount Rainier National Park,Mount Rainier,mora,WA,https://www.nps.gov/mora/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Olympic National Park,Olympic,olym,WA,https://www.nps.gov/olym/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Petrified Forest National Park,Petrified Forest,pefo,AZ,https://www.nps.gov/pefo/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Pinnacles National Park,Pinnacles,pinn,CA,https://www.nps.gov/pinn/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Saguaro National Park,Saguaro,sagu,AZ,https://www.nps.gov/sagu/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Shenandoah National Park,Shenandoah,shen,VA,https://www.nps.gov/shen/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Theodore Roosevelt National Park,Theodore Roosevelt,thro,ND,https://www.nps.gov/thro/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Virgin Islands National Park,Virgin Islands,viis,VI,https://www.nps.gov/viis/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Voyageurs National Park,Voyageurs,voya,MN,https://www.nps.gov/voya/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Yellowstone National Park,Yellowstone,yell,"ID,MT,WY",https://www.nps.gov/yell/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Yosemite National Park,Yosemite,yose,CA,https://www.nps.gov/yose/index.htm
13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy,National Park,Zion National Park,Zion,zion,UT,https://www.nps.gov/zion/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Badlands National Park,Badlands,badl,SD,https://www.nps.gov/badl/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Big Bend National Park,Big Bend,bibe,TX,https://www.nps.gov/bibe/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Crater Lake National Park,Crater Lake,crla,OR,https://www.nps.gov/crla/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Everglades National Park,Everglades,ever,FL,https://www.nps.gov/ever/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Glacier National Park,Glacier,glac,MT,https://www.nps.gov/glac/index.htm
