park_code,amenity_id,amenity_name,park_states,park_id,park_latitude,park_longitude,park_designation,park_url,park_name,min_summer_temp,max_summer_temp,min_winter_temp,max_winter_temp,min_spring_temp,max_spring_temp,min_fall_temp,max_fall_temp,activity_id,activity_name
acad,1D89D866-66BC-4CB9-9640-0291F984C29B,Junior Ranger Booklet Available,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,B760D6E2-3616-4D8B-ABF2-B875B7966831,Parking - Auto,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,EDA1E992-DA2B-4933-A7AD-23E3B7BFA602,Parking - Boat Trailer,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,0965B1F3-A824-4A31-98C9-86CCD2889220,Parking - Bus/RV,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,D7D63B75-2A7E-4715-856A-D8479DB9602A,Pets Allowed,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,6B68B30A-40C9-4745-9397-4899B59B0B7E,Picnic Table,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,A0038A57-E213-46E7-BD5F-40E9AE18014F,Public Transit,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,4706077B-00CB-4D07-80C7-48B2D5ADEFA2,Recycling,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,2883D965-1CA4-4858-B759-A5866CA8A188,Restroom,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,75F2DA2A-1741-445A-9FA7-B63A81E4BD7F,Restroom - Accessible,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,D6220FCB-F005-4C26-942C-2BE168819AE3,Restroom - Family,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,3AE99969-54E5-4A4E-AE43-5A11209D0120,Restroom - Seasonal,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,79247274-A3FB-42C4-9361-45A2BFADE78C,Scenic View/Photo Spot,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,94E21603-85F3-48C5-96B6-556E46FA2518,Showers,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,1FF653F6-1F20-425C-A16A-B8D6210CD759,Tactile Exhibit,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,CC4A51EF-1CB8-4625-9A9B-3AC77AF2F668,Toilet - Flush,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,F84C0528-0D1A-45A2-B644-B3C059B3D224,Toilet - Vault/Composting,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,39BE9614-4284-4B29-A650-AB2E7215C58B,Trailhead,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,4D4C1C32-793D-4440-8098-DBCA0126EDFD,Trash/Litter Receptacles,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,23682251-700A-4DE2-8FD8-BD680F53DF82,Water - Bottle-Filling Station,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,9A652919-D548-4850-8053-798CDC2C762B,Water - Drinking/Potable,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
acad,EAB59B1F-2FA1-4545-A322-2C19149AF7FC,Wheelchair Accessible,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,44.409286,-68.247501,National Park,http://www.nps.gov/acad/,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,,
arch,5BDFF349-2F74-490E-A33E-C35286152050,Bicycle - Rack,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,2856392B-17A7-4413-8521-C13A8D2188EB,Historical/Interpretive Information/Exhibits,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,0AF7920C-2F54-42A7-88CA-F2EEBCB15655,Information,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,B760D6E2-3616-4D8B-ABF2-B875B7966831,Parking - Auto,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,0965B1F3-A824-4A31-98C9-86CCD2889220,Parking - Bus/RV,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,DAB8DE0A-44A2-4AB5-8914-9528BF9413DB,Picnic Shelter/Pavilion,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,6B68B30A-40C9-4745-9397-4899B59B0B7E,Picnic Table,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,2883D965-1CA4-4858-B759-A5866CA8A188,Restroom,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,79247274-A3FB-42C4-9361-45A2BFADE78C,Scenic View/Photo Spot,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,F84C0528-0D1A-45A2-B644-B3C059B3D224,Toilet - Vault/Composting,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,39BE9614-4284-4B29-A650-AB2E7215C58B,Trailhead,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,4D4C1C32-793D-4440-8098-DBCA0126EDFD,Trash/Litter Receptacles,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,23682251-700A-4DE2-8FD8-BD680F53DF82,Water - Bottle-Filling Station,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,9A652919-D548-4850-8053-798CDC2C762B,Water - Drinking/Potable,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
arch,EAB59B1F-2FA1-4545-A322-2C19149AF7FC,Wheelchair Accessible,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,38.72261844,-109.5863666,National Park,http://www.nps.gov/arch/,Arches National Park,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,,
care,7DC6C690-2BC3-4344-9691-EF9FCFB6E506,Audio Description,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,20291812-E85C-4A84-B8A2-E31C8D149704,Benches/Seating,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,48562BFB-834B-43F2-B865-E174C372032B,Cellular Signal,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,28BF85F5-E93F-4EF1-A89B-05C99FCD808A,Firewood For Sale/Available,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,29D286B6-069C-4204-AF35-AE7744B71212,Food/Drink - Snacks,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,3476E39B-5402-4999-99B3-AC8F030629E7,Gifts/Souvenirs/Books,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,2856392B-17A7-4413-8521-C13A8D2188EB,Historical/Interpretive Information/Exhibits,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,B760D6E2-3616-4D8B-ABF2-B875B7966831,Parking - Auto,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,0965B1F3-A824-4A31-98C9-86CCD2889220,Parking - Bus/RV,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,6B68B30A-40C9-4745-9397-4899B59B0B7E,Picnic Table,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,4706077B-00CB-4D07-80C7-48B2D5ADEFA2,Recycling,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,79247274-A3FB-42C4-9361-45A2BFADE78C,Scenic View/Photo Spot,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,F84C0528-0D1A-45A2-B644-B3C059B3D224,Toilet - Vault/Composting,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,4D4C1C32-793D-4440-8098-DBCA0126EDFD,Trash/Litter Receptacles,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,9A652919-D548-4850-8053-798CDC2C762B,Water - Drinking/Potable,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
care,EAB59B1F-2FA1-4545-A322-2C19149AF7FC,Wheelchair Accessible,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,38.2821653131,-111.247048378,National Park,http://www.nps.gov/care/,Capitol Reef National Park,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,,
cuva,4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,B509969B-F06A-4DCC-BBB3-134964D896E2,Amphitheater,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,CBD31D2A-DD1A-4C5D-88C1-67B6B7147CE9,Assistive Listening Systems,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,7DC6C690-2BC3-4344-9691-EF9FCFB6E506,Audio Description,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,F4A842CB-C966-402E-BBD3-AB86EDCF8403,Automated Entrance,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,03A732CF-E5FD-473D-A78B-BDC4D20721BF,Automated External Defibrillator (AED),OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,B166EAD1-0D3E-4111-AE04-D5AB15DFDEDC,Baby Changing Station,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,63734D6E-3330-4EED-B916-52B3F625A091,Beach/Water Access,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,20291812-E85C-4A84-B8A2-E31C8D149704,Benches/Seating,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,5BDFF349-2F74-490E-A33E-C35286152050,Bicycle - Rack,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,73C1C87E-F4EC-464D-BAEE-1F95876C24F4,Canoe/Kayak/Small Boat Launch,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,48562BFB-834B-43F2-B865-E174C372032B,Cellular Signal,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,91062A96-BF79-4719-9679-BB5461B7620A,Dock/Pier,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,1C1B932D-32B6-4BAA-8AA6-497F08CC22BF,Electrical Outlet/Cell Phone Charging,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,AB14DDED-4C61-4842-9D1F-1C9578A10802,Elevator,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,802BE109-511F-47D9-84D5-18DDA1C90771,Fire Extinguisher,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,0A4F29B3-7FC1-4D4A-BD71-3B7E08CD4BCC,Fire Pit,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
cuva,5BA727FA-943D-418D-A238-44127EBA6EDB,First Aid Kit Available,OH,F4D44F29-3F67-498F-B05B-0783473D2708,41.26093905,-81.57116722,National Park,http://www.nps.gov/cuva/,Cuyahoga Valley National Park,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,,
