park_code,park_states,park_id,park_name,amenity_id,amenity_name,activity_id,activity_name,park_designation,park_url,park_latitude,park_longitude,min_summer_temp,max_summer_temp,min_winter_temp,max_winter_temp,min_spring_temp,max_spring_temp,min_fall_temp,max_fall_temp
arch,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,Arches National Park,79247274-A3FB-42C4-9361-45A2BFADE78C,Scenic View/Photo Spot,,,National Park,http://www.nps.gov/arch/,38.72261844,-109.5863666,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2
arch,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,Arches National Park,F84C0528-0D1A-45A2-B644-B3C059B3D224,Toilet - Vault/Composting,,,National Park,http://www.nps.gov/arch/,38.72261844,-109.5863666,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2
arch,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,Arches National Park,39BE9614-4284-4B29-A650-AB2E7215C58B,Trailhead,,,National Park,http://www.nps.gov/arch/,38.72261844,-109.5863666,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2
arch,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,Arches National Park,4D4C1C32-793D-4440-8098-DBCA0126EDFD,Trash/Litter Receptacles,,,National Park,http://www.nps.gov/arch/,38.72261844,-109.5863666,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2
arch,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,Arches National Park,23682251-700A-4DE2-8FD8-BD680F53DF82,Water - Bottle-Filling Station,,,National Park,http://www.nps.gov/arch/,38.72261844,-109.5863666,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2
arch,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,Arches National Park,9A652919-D548-4850-8053-798CDC2C762B,Water - Drinking/Potable,,,National Park,http://www.nps.gov/arch/,38.72261844,-109.5863666,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2
arch,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4,Arches National Park,EAB59B1F-2FA1-4545-A322-2C19149AF7FC,Wheelchair Accessible,,,National Park,http://www.nps.gov/arch/,38.72261844,-109.5863666,56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,7DC6C690-2BC3-4344-9691-EF9FCFB6E506,Audio Description,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,20291812-E85C-4A84-B8A2-E31C8D149704,Benches/Seating,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,48562BFB-834B-43F2-B865-E174C372032B,Cellular Signal,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,28BF85F5-E93F-4EF1-A89B-05C99FCD808A,Firewood For Sale/Available,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,29D286B6-069C-4204-AF35-AE7744B71212,Food/Drink - Snacks,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,3476E39B-5402-4999-99B3-AC8F030629E7,Gifts/Souvenirs/Books,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,2856392B-17A7-4413-8521-C13A8D2188EB,Historical/Interpretive Information/Exhibits,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,B760D6E2-3616-4D8B-ABF2-B875B7966831,Parking - Auto,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,0965B1F3-A824-4A31-98C9-86CCD2889220,Parking - Bus/RV,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,6B68B30A-40C9-4745-9397-4899B59B0B7E,Picnic Table,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,4706077B-00CB-4D07-80C7-48B2D5ADEFA2,Recycling,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,79247274-A3FB-42C4-9361-45A2BFADE78C,Scenic View/Photo Spot,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,F84C0528-0D1A-45A2-B644-B3C059B3D224,Toilet - Vault/Composting,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,4D4C1C32-793D-4440-8098-DBCA0126EDFD,Trash/Litter Receptacles,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,9A652919-D548-4850-8053-798CDC2C762B,Water - Drinking/Potable,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
care,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,Capitol Reef National Park,EAB59B1F-2FA1-4545-A322-2C19149AF7FC,Wheelchair Accessible,,,National Park,http://www.nps.gov/care/,38.2821653131,-111.247048378,48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6
cuva,OH,F4D44F29-3F67-498F-B05B-0783473D2708,Cuyahoga Valley National Park,4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,,,National Park,http://www.nps.gov/cuva/,41.26093905,-81.57116722,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9
cuva,OH,F4D44F29-3F67-498F-B05B-0783473D2708,Cuyahoga Valley National Park,04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,,,National Park,http://www.nps.gov/cuva/,41.26093905,-81.57116722,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9
cuva,OH,F4D44F29-3F67-498F-B05B-0783473D2708,Cuyahoga Valley National Park,B509969B-F06A-4DCC-BBB3-134964D896E2,Amphitheater,,,National Park,http://www.nps.gov/cuva/,41.26093905,-81.57116722,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9
cuva,OH,F4D44F29-3F67-498F-B05B-0783473D2708,Cuyahoga Valley National Park,CBD31D2A-DD1A-4C5D-88C1-67B6B7147CE9,Assistive Listening Systems,,,National Park,http://www.nps.gov/cuva/,41.26093905,-81.57116722,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9
cuva,OH,F4D44F29-3F67-498F-B05B-0783473D2708,Cuyahoga Valley National Park,7DC6C690-2BC3-4344-9691-EF9FCFB6E506,Audio Description,,,National Park,http://www.nps.gov/cuva/,41.26093905,-81.57116722,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9
cuva,OH,F4D44F29-3F67-498F-B05B-0783473D2708,Cuyahoga Valley National Park,F4A842CB-C966-402E-BBD3-AB86EDCF8403,Automated Entrance,,,National Park,http://www.nps.gov/cuva/,41.26093905,-81.57116722,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9
cuva,OH,F4D44F29-3F67-498F-B05B-0783473D2708,Cuyahoga Valley National Park,03A732CF-E5FD-473D-A78B-BDC4D20721BF,Automated External Defibrillator (AED),,,National Park,http://www.nps.gov/cuva/,41.26093905,-81.57116722,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9
cuva,OH,F4D44F29-3F67-498F-B05B-0783473D2708,Cuyahoga Valley National Park,B166EAD1-0D3E-4111-AE04-D5AB15DFDEDC,Baby Changing Station,,,National Park,http://www.nps.gov/cuva/,41.26093905,-81.57116722,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9
cuva,OH,F4D44F29-3F67-498F-B05B-0783473D2708,Cuyahoga Valley National Park,63734D6E-3330-4EED-B916-52B3F625A091,Beach/Water Access,,,National Park,http://www.nps.gov/cuva/,41.26093905,-81.57116722,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9
cuva,OH,F4D44F29-3F67-498F-B05B-0783473D2708,Cuyahoga Valley National Park,20291812-E85C-4A84-B8A2-E31C8D149704,Benches/Seating,,,National Park,http://www.nps.gov/cuva/,41.26093905,-81.57116722,63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9
